athlete_id,name,born_date,born_city,born_region,born_country,noc,height_cm,weight_kg,died_date
95549,grard monrazel,1943-04-30 00:00:00,unknown,unknown,unknown,france,175.0,76.0,unknown
95550,rolf monsen,1899-01-08 00:00:00,oslo,oslo,nor,united states,175.0,70.0,19870428
95551,wally monson,1908-11-29 00:00:00,winnipeg,manitoba,can,canada,155.0,77.0,19880109
95552,gil montandon,1965-04-28 00:00:00,neuchtel,neuchtel,sui,switzerland,185.0,93.0,unknown
95553,enrique montano,1964-08-18 00:00:00,unknown,unknown,unknown,bolivia,176.0,70.0,unknown
95554,steve monteith,1943-09-21 00:00:00,stratford,ontario,can,canada,180.0,77.0,unknown
95555,carlo montemurro,1934-01-18 00:00:00,rouynnoranda,qubec,can,italy,176.0,70.0,unknown
95556,eugenio monti,1928-01-23 00:00:00,dobbiaco,bolzanobozen,ita,italy,172.0,73.0,20031201
95557,andy moog,1960-02-18 00:00:00,penticton,british columbia,can,canada,175.0,77.0,unknown
95558,tom moon,1908-11-06 00:00:00,ottawa,ontario,can,united states,176.0,70.0,19860727
95559,dinty moore,1900-10-29 00:00:00,port colborne,ontario,can,canada,176.0,70.0,19760121
95560,john moore,1933-05-18 00:00:00,aldershot,england,gbr,great britain,176.0,70.0,20170826
95561,joe moore,1901-01-12 00:00:00,new york,new york,usa,united states,170.0,70.0,19820428
95562,ken moore,1910-02-17 00:00:00,balcarres,saskatchewan,can,canada,176.0,70.0,19811208
95563,mark moore,1961-09-28 00:00:00,rinteln,niedersachsen,ger,great britain,181.0,71.0,unknown
95564,marius mora,1921-06-23 00:00:00,les rousses,jura,fra,france,176.0,70.0,20060222
95565,fabio morandini,1945-12-17 00:00:00,predazzo,trento,ita,italy,169.0,62.0,unknown
95566,hans morant,1947-10-07 00:00:00,sulimice,zachodniopomorskie,pol,west germany,179.0,89.0,unknown
95567,vasile morar,1952-06-23 00:00:00,bucureti bucharest,bucureti,rou,romania,176.0,70.0,20050615
