athlete_id,name,born_date,born_city,born_region,born_country,noc,height_cm,weight_kg,died_date
90448,edita puinskait,19751127,naujoji akmen,iauliai,ltu,lithuania,169.0,54.0,nat
90449,ziranda madrigal,19770325,morelia,michoacn,mex,mexico,176.0,60.0,nat
90450,mannie heymans,19710714,krugersdorp,gauteng,rsa,namibia,170.0,65.0,nat
90451,chantal beltman,19760825,hardenberg,overijssel,ned,netherlands,180.0,68.0,nat
90452,mirjam melchersvan poppel,19750926,arnhem,gelderland,ned,netherlands,175.0,60.0,nat
90453,koos moerenhout,19731105,oostflakkee,zuidholland,ned,netherlands,184.0,73.0,nat
90454,max van heeswijk,19730302,hoensbroek,limburg,ned,netherlands,180.0,73.0,nat
90455,jens mouris,19800312,amsterdam,noordholland,ned,netherlands,198.0,91.0,nat
90456,danny stam,19720625,koog aan de zaan,noordholland,ned,netherlands,176.0,62.0,nat
90457,wilco zuijderwijk,19691002,den helder,noordholland,ned,netherlands,191.0,90.0,nat
90458,corine dorland,19730630,apeldoorn,gelderland,ned,netherlands,170.0,60.0,nat
90459,patrick tolhoek,19650626,goes,zeeland,ned,netherlands,178.0,63.0,nat
90460,bas van dooren,19730825,oss,noordbrabant,ned,netherlands,172.0,59.0,nat
90461,kurt asle arvesen,19750209,molde,mre og romsdal,nor,norway,183.0,74.0,nat
90462,solrun flats,19670828,tynset,innlandet,nor,norway,178.0,66.0,nat
90463,thor hushovd,19780118,grimstad,agder,nor,norway,183.0,84.0,nat
90464,bjrnar vestl,19740528,grimstad,agder,nor,norway,190.0,82.0,nat
90465,tom larsen,19720422,oslo,oslo,nor,norway,190.0,71.0,nat
90466,jacinta coleman,19740717,auckland,auckland,nzl,new zealand,167.0,55.0,20170627
90467,chris jenner,19741103,upper hutt,wellington,nzl,new zealand,178.0,68.0,nat
90468,anthony peden,19700915,manly,new south wales,aus,new zealand,177.0,90.0,nat
90469,fiona ramage,19780712,masterton,wellington,nzl,new zealand,165.0,63.0,nat
90470,matt sinton,19760611,auckland,auckland,nzl,new zealand,185.0,89.0,nat
90471,glen thomson,19730712,dunedin,otago,nzl,new zealand,181.0,78.0,nat
90472,lee vertongen,19750122,palmerston north,manawatuwanganui,nzl,new zealand,184.0,79.0,nat
90473,kashi leuchs,19780630,dunedin,otago,nzl,new zealand,180.0,63.0,nat
90474,piotr chmielewski,19700918,lublin,lubelskie,pol,poland,187.0,72.0,nat
90475,piotr przydzia,19740515,sdziszw maopolski,podkarpackie,pol,poland,186.0,80.0,nat
90476,piotr wadecki,19730211,elblg,warmiskomazurskie,pol,poland,178.0,70.0,nat
90477,konrad czajkowski,19800111,warszawa warsaw,mazowieckie,pol,poland,170.0,80.0,nat
90478,marcin mientki,19760701,toru,kujawskopomorskie,pol,poland,185.0,86.0,nat
90479,bartomiej saczuk,19791010,olsztyn,warmiskomazurskie,pol,poland,173.0,81.0,nat
90480,bruno castanheira,19770204,barreiro,distrito de setbal,por,portugal,181.0,70.0,20140914
90481,vtor gamito,19700421,lisboa,distrito de lisboa,por,portugal,183.0,66.0,nat
90482,robert hunter,19770422,johannesburg,gauteng,rsa,south africa,178.0,72.0,nat
90483,garen bloch,19780906,johannesburg,gauteng,rsa,south africa,180.0,65.0,20180721
90484,sergey ivanov,19750305,cheboksary,chuvashkaya respublika,rus,russian federation,180.0,74.0,nat
90485,yevgeny petrov,19780525,belovo,kemerovo,rus,russian federation,176.0,67.0,nat
90486,olga slyusareva,19690428,chervonyi donets,kharkiv,ukr,russian federation,168.0,60.0,nat
90487,vladislav borisov,19780905,naryanmar,nenets avtonomny okrug,rus,russian federation,180.0,70.0,nat
90488,vladimir karpets,19800920,na,na,na,russian federation,192.0,75.0,nat
90489,sergey klimov,19800707,na,na,na,russian federation,180.0,71.0,nat
90490,denis smyslov,19790105,na,na,na,russian federation,180.0,72.0,nat
90491,pavel cherkasov,19720513,bryansk,bryansk,rus,russian federation,185.0,70.0,nat
90492,bianca netzler,19740714,na,na,na,samoa,176.0,70.0,nat
90493,andrej hauptman,19750505,domale,domale,slo,slovenia,180.0,70.0,nat
90494,martin hvastija,19691130,ljubljana,ljubljana,slo,slovenia,184.0,75.0,nat
90495,uro murn,19750209,novo mesto,novo mesto,slo,slovenia,183.0,70.0,nat
90496,tadej valjavec,19770413,kranj,kranj,slo,slovenia,171.0,61.0,nat
90497,rok draler,19790526,ljubljana,ljubljana,slo,slovenia,188.0,71.0,nat
90498,primo trancar,19720916,ajdovina,ajdovina,slo,slovenia,171.0,63.0,nat
90499,nicole brndlisedoun,19790618,horgen,zrich,sui,switzerland,167.0,48.0,nat
90500,oscar camenzind,19710912,gersau,schwyz,sui,switzerland,173.0,63.0,nat
90501,priska doppmann,19710510,cham,zug,sui,switzerland,168.0,55.0,nat
90502,laurent dufaux,19690520,montreux,vaud,sui,switzerland,169.0,60.0,nat
90503,mauro gianetti,19640316,lugano,ticino,sui,switzerland,175.0,62.0,nat
90504,markus zberg,19740627,altdorf,uri,sui,switzerland,179.0,69.0,nat
90505,kurt betschart,19680825,erstfeld,uri,sui,switzerland,183.0,74.0,nat
90506,franco marvulli,19781111,zrich,zrich,sui,switzerland,191.0,82.0,nat
90507,barbara blatter,19701222,wattwil,sankt gallen,sui,switzerland,168.0,54.0,nat
90508,chantal daucourt,19660623,na,na,na,switzerland,171.0,60.0,nat
90509,thomas hochstrasser,19760713,na,na,na,switzerland,180.0,66.0,nat
90510,christoph sauser,19760413,sigriswil,bern,sui,switzerland,181.0,65.0,nat
90511,roman broni,19761017,bnovce nad bebravou,trenn,svk,slovakia,187.0,74.0,nat
90512,martin rika,19750518,ilina,ilina,svk,slovakia,180.0,73.0,nat
90513,jn lepka,19770103,plze,plzesk kraj,cze,slovakia,182.0,90.0,nat
90514,magnus bckstedt,19750130,linkping,stergtland,swe,sweden,193.0,89.0,nat
90515,martin rittsel,19710328,na,na,na,sweden,178.0,70.0,nat
90516,chen chiungyi,19761207,na,na,na,chinese taipei,165.0,59.0,nat
90517,fang fenfang,19810615,na,na,na,chinese taipei,158.0,54.0,nat
90518,volodymyr duma,19720302,velykyi lazy,zakarpattia,ukr,ukraine,174.0,64.0,nat
90519,volodymyr hustov,19770215,kyiv,kyiv,ukr,ukraine,180.0,64.0,nat
90520,serhiy honchar,19700703,rivne,rivne,ukr,ukraine,177.0,67.0,nat
90521,valentyna karpenko,19721209,mykolav,mykolav,ukr,ukraine,168.0,67.0,nat
90522,oksana saprykina,19790118,na,na,na,ukraine,172.0,55.0,nat
90523,tetiana stiazhkina,19770410,simferopol,krym,ukr,ukraine,170.0,51.0,nat
90524,serhiy cherniavskyi,19760402,na,na,na,ukraine,175.0,67.0,nat
90525,iryna yanovych,19760714,leninsky,amur,rus,ukraine,173.0,78.0,nat
90526,serhiy rysenko,19800315,luhansk,luhansk,ukr,ukraine,174.0,62.0,nat
90527,antonio cruz,19711031,los angeles,california,usa,united states,175.0,64.0,nat
90528,nicole freedman,19720521,newton,massachusetts,usa,united states,157.0,51.0,nat
90529,tyler hamilton,19710301,marblehead,massachusetts,usa,united states,172.0,65.0,nat
90530,mari holden,19710330,milwaukee,wisconsin,usa,united states,162.0,48.0,nat
90531,karen kurreck,19620613,urbana,illinois,usa,united states,168.0,57.0,nat
90532,fred rodriguez,19730903,bogot,bogot,col,united states,177.0,70.0,nat
90533,chelly arrue,19690108,santiago,santiago metropolitan,chi,united states,175.0,81.0,nat
90534,johnny bairos,19771108,anaheim,california,usa,united states,167.0,74.0,nat
90535,derek bouchardhall,19700716,port hueneme,california,usa,united states,187.0,74.0,nat
90536,jme carney,19681129,detroit,michigan,usa,united states,172.0,67.0,nat
90537,tanya lindenmuth,19790525,allentown,pennsylvania,usa,united states,155.0,59.0,nat
90538,erin mirabella,19780518,racine,wisconsin,usa,united states,162.0,64.0,nat
90539,tommy mulkey,19721016,atlanta,georgia,usa,united states,185.0,81.0,nat
90540,christian vande velde,19760522,lemont,illinois,usa,united states,180.0,68.0,nat
90542,travis brown,19690807,durango,colorado,usa,united states,183.0,74.0,nat
90543,ruthie matthes,19651111,sun valley,idaho,usa,united states,165.0,58.0,nat
90544,ann trombley,19631122,saginaw,michigan,usa,united states,160.0,56.0,nat
90545,omar enrique pumar,19720518,caracas,distrito capital,ven,venezuela,175.0,60.0,nat
90546,dean pullar,19730511,melbourne,victoria,aus,australia,186.0,80.0,nat
90547,marion reiff,19790521,wien vienna,wien,aut,austria,163.0,49.0,nat
90548,cassius duran,19790531,so paulo,so paulo,bra,brazil,174.0,73.0,nat
90549,juliana veloso,19801222,rio de janeiro,rio de janeiro,bra,brazil,160.0,62.0,nat
90550,alexandre despatie,19850608,montral,qubec,can,canada,173.0,76.0,nat
90551,blythe hartley,19820502,edmonton,alberta,can,canada,165.0,56.0,nat
90552,milie heymans,19811214,bruxelles brussels,rgion de bruxellescapitale,bel,canada,170.0,62.0,nat
90553,christopher kalec,19800407,montral,qubec,can,canada,165.0,70.0,nat
90554,jeff liberty,19780205,north bay,ontario,can,canada,180.0,74.0,nat
90555,hu jia,19830110,wuhan,hubei,chn,peoples republic of china,170.0,58.0,nat
90556,li na,19840501,hefei,anhui,chn,peoples republic of china,162.0,47.0,nat
90557,sang xue,19841207,tianjin,tianjin,chn,peoples republic of china,157.0,42.0,nat
90558,diana pineda,19840906,medelln,antioquia,col,colombia,167.0,55.0,nat
90559,juan guillermo urn,19830103,medelln,antioquia,col,colombia,168.0,65.0,nat
90560,jess aball,19740405,na,na,na,cuba,167.0,65.0,nat
90561,iohana cruz,19800109,na,na,na,cuba,149.0,45.0,nat
